meanIntensity	edgeDensity	contrast	homogeneity	energy	label
100.99	0.252	340.51	0.068	0.012	LOW
116.64	0.184	258.86	0.212	0.018	MODERATE
155.4	0.091	115.35	0.343	0.024	HIGH
164.04	0.142	144.88	0.34	0.025	HIGH
95.55	0.275	334.96	0.124	0.009	LOW
147.52	0.097	129.5	0.223	0.024	HIGH
124.73	0.241	228.89	0.172	0.019	MODERATE
158.07	0.156	129.0	0.243	0.033	HIGH
86.26	0.272	466.63	0.087	0.013	LOW
91.1	0.309	281.22	0.11	0.013	LOW
86.75	0.31	352.64	0.075	0.013	LOW
124.86	0.183	220.27	0.183	0.023	MODERATE
128.01	0.188	278.06	0.2	0.018	MODERATE
117.32	0.213	233.24	0.164	0.015	MODERATE
93.41	0.258	301.28	0.118	0.011	LOW
117.01	0.182	266.11	0.181	0.023	MODERATE
90.29	0.299	440.58	0.066	0.008	LOW
141.82	0.128	106.15	0.309	0.029	HIGH
165.0	0.161	76.49	0.332	0.024	HIGH
132.87	0.193	185.97	0.174	0.022	MODERATE
151.94	0.099	80.99	0.33	0.029	HIGH
138.36	0.237	226.01	0.171	0.018	MODERATE
104.88	0.27	285.21	0.065	0.008	LOW
107.43	0.317	384.43	0.071	0.007	LOW
117.62	0.198	161.13	0.202	0.023	MODERATE
105.27	0.274	453.22	0.059	0.014	LOW
117.54	0.188	183.11	0.141	0.02	MODERATE
143.08	0.165	146.6	0.257	0.032	HIGH
88.19	0.278	477.78	0.114	0.014	LOW
94.54	0.34	396.41	0.128	0.014	LOW
107.02	0.329	361.3	0.063	0.013	LOW
90.82	0.259	341.15	0.101	0.009	LOW
128.29	0.232	273.71	0.149	0.017	MODERATE
101.02	0.26	375.65	0.086	0.015	LOW
94.51	0.251	357.39	0.11	0.014	LOW
105.43	0.277	425.95	0.125	0.006	LOW
165.05	0.168	73.4	0.264	0.032	HIGH
102.61	0.254	330.14	0.073	0.006	LOW
167.92	0.164	128.5	0.323	0.026	HIGH
100.32	0.315	391.05	0.116	0.01	LOW
130.17	0.221	258.69	0.215	0.016	MODERATE
157.85	0.174	97.86	0.269	0.033	HIGH
146.21	0.102	148.27	0.263	0.026	HIGH
96.88	0.299	338.31	0.12	0.009	LOW
156.46	0.153	117.5	0.234	0.027	HIGH
136.18	0.211	243.28	0.211	0.015	MODERATE
105.15	0.313	354.86	0.062	0.015	LOW
128.67	0.182	207.28	0.181	0.015	MODERATE
131.22	0.21	248.06	0.217	0.017	MODERATE
133.7	0.209	272.11	0.176	0.022	MODERATE
101.98	0.286	316.31	0.087	0.006	LOW
140.79	0.173	144.65	0.255	0.026	HIGH
139.99	0.227	192.34	0.134	0.022	MODERATE
98.62	0.27	409.64	0.115	0.005	LOW
155.79	0.145	108.11	0.267	0.028	HIGH
96.05	0.269	384.1	0.122	0.013	LOW
95.36	0.307	322.78	0.106	0.01	LOW
93.1	0.252	484.4	0.12	0.013	LOW
95.48	0.303	395.01	0.125	0.007	LOW
137.66	0.216	265.52	0.208	0.017	MODERATE
141.31	0.1	73.77	0.341	0.03	HIGH
134.67	0.187	275.29	0.187	0.022	MODERATE
102.94	0.268	419.53	0.071	0.01	LOW
164.03	0.153	77.1	0.298	0.033	HIGH
87.89	0.26	401.71	0.072	0.011	LOW
134.58	0.248	172.97	0.132	0.018	MODERATE
101.92	0.33	299.13	0.084	0.005	LOW
165.36	0.117	138.63	0.295	0.033	HIGH
156.36	0.112	77.21	0.306	0.027	HIGH
132.29	0.246	210.3	0.197	0.016	MODERATE
103.23	0.311	496.52	0.058	0.009	LOW
141.69	0.131	97.94	0.279	0.025	HIGH
90.51	0.27	375.88	0.052	0.008	LOW
99.6	0.295	467.6	0.063	0.015	LOW
97.15	0.256	447.33	0.111	0.006	LOW
136.23	0.211	223.11	0.171	0.022	MODERATE
146.66	0.125	101.46	0.223	0.025	HIGH
120.16	0.228	237.98	0.207	0.023	MODERATE
122.3	0.226	178.52	0.172	0.024	MODERATE
167.69	0.087	144.86	0.232	0.025	HIGH
90.47	0.295	285.84	0.066	0.011	LOW
85.61	0.272	384.53	0.118	0.006	LOW
137.83	0.211	243.79	0.141	0.024	MODERATE
112.8	0.249	269.55	0.172	0.016	MODERATE
152.9	0.108	131.06	0.283	0.031	HIGH
164.27	0.097	109.39	0.273	0.031	HIGH
107.1	0.287	416.55	0.062	0.014	LOW
149.89	0.092	101.82	0.306	0.032	HIGH
104.06	0.299	451.3	0.092	0.005	LOW
133.01	0.192	232.87	0.197	0.016	MODERATE
158.08	0.123	132.08	0.266	0.024	HIGH
128.59	0.197	269.54	0.143	0.019	MODERATE
142.98	0.149	119.0	0.347	0.028	HIGH
162.25	0.133	137.11	0.282	0.033	HIGH
118.85	0.232	181.08	0.142	0.02	MODERATE
162.06	0.113	73.99	0.291	0.033	HIGH
102.9	0.271	367.07	0.104	0.008	LOW
144.24	0.115	157.09	0.311	0.028	HIGH
166.04	0.152	157.16	0.298	0.028	HIGH
109.74	0.308	402.53	0.105	0.013	LOW
165.58	0.145	139.21	0.314	0.026	HIGH
139.78	0.201	277.35	0.189	0.017	MODERATE
133.88	0.201	204.98	0.143	0.02	MODERATE
151.04	0.169	136.9	0.336	0.028	HIGH
122.02	0.185	235.53	0.135	0.016	MODERATE
157.34	0.101	129.11	0.249	0.025	HIGH
109.88	0.308	376.38	0.091	0.006	LOW
135.53	0.193	185.45	0.202	0.018	MODERATE
148.18	0.171	83.26	0.277	0.034	HIGH
89.46	0.337	338.4	0.059	0.009	LOW
103.41	0.28	484.78	0.114	0.014	LOW
88.0	0.33	334.17	0.098	0.011	LOW
108.84	0.288	444.45	0.094	0.011	LOW
163.5	0.167	116.93	0.28	0.035	HIGH
149.03	0.085	107.78	0.323	0.029	HIGH
141.36	0.12	123.94	0.221	0.027	HIGH
150.71	0.158	147.92	0.263	0.025	HIGH
88.46	0.271	432.67	0.107	0.006	LOW
129.38	0.214	255.15	0.138	0.017	MODERATE
100.94	0.319	394.69	0.1	0.008	LOW
161.43	0.13	85.53	0.252	0.029	HIGH
163.66	0.114	135.96	0.302	0.032	HIGH
139.92	0.232	212.08	0.139	0.021	MODERATE
164.57	0.162	91.26	0.239	0.026	HIGH
132.69	0.224	251.2	0.148	0.02	MODERATE
92.69	0.255	473.16	0.126	0.006	LOW
98.79	0.288	282.13	0.056	0.014	LOW
123.52	0.222	194.95	0.151	0.021	MODERATE
112.41	0.183	211.84	0.159	0.017	MODERATE
122.85	0.206	220.72	0.161	0.023	MODERATE
161.28	0.122	80.37	0.223	0.028	HIGH
166.1	0.115	159.83	0.256	0.035	HIGH
122.25	0.19	273.55	0.157	0.019	MODERATE
118.05	0.24	259.69	0.138	0.023	MODERATE
165.33	0.104	123.0	0.288	0.028	HIGH
134.96	0.198	169.83	0.132	0.02	MODERATE
164.4	0.147	144.61	0.316	0.032	HIGH
122.77	0.232	199.69	0.193	0.017	MODERATE
114.46	0.218	201.41	0.18	0.02	MODERATE
143.42	0.131	151.53	0.265	0.032	HIGH
128.75	0.226	272.04	0.168	0.02	MODERATE
155.06	0.104	159.51	0.269	0.024	HIGH
128.27	0.197	179.01	0.18	0.02	MODERATE
113.79	0.227	227.68	0.15	0.021	MODERATE
102.59	0.305	497.19	0.102	0.005	LOW
106.46	0.27	459.65	0.087	0.008	LOW
100.23	0.265	440.41	0.063	0.009	LOW
135.78	0.207	198.0	0.195	0.022	MODERATE
98.8	0.325	416.07	0.119	0.011	LOW
94.25	0.269	338.74	0.125	0.011	LOW
112.74	0.247	260.32	0.182	0.024	MODERATE
87.66	0.288	318.7	0.127	0.01	LOW
167.29	0.087	77.27	0.299	0.025	HIGH
129.17	0.21	190.01	0.206	0.017	MODERATE
130.1	0.24	199.58	0.192	0.018	MODERATE
129.73	0.218	209.59	0.147	0.018	MODERATE
109.89	0.3	438.05	0.062	0.008	LOW
140.56	0.172	147.59	0.295	0.03	HIGH
106.76	0.277	420.57	0.099	0.007	LOW
129.81	0.191	180.86	0.137	0.015	MODERATE
135.04	0.249	189.25	0.18	0.018	MODERATE
130.33	0.191	213.01	0.161	0.02	MODERATE
148.61	0.163	132.65	0.238	0.032	HIGH
154.1	0.144	158.29	0.253	0.024	HIGH
143.33	0.171	123.71	0.222	0.03	HIGH
134.74	0.214	256.78	0.197	0.018	MODERATE
123.66	0.203	182.64	0.193	0.02	MODERATE
92.9	0.318	295.96	0.087	0.015	LOW
169.21	0.13	114.78	0.34	0.03	HIGH
85.29	0.315	429.98	0.093	0.008	LOW
103.21	0.278	413.37	0.091	0.009	LOW
162.41	0.098	104.22	0.311	0.03	HIGH
155.78	0.131	158.95	0.292	0.028	HIGH
161.65	0.158	121.08	0.231	0.025	HIGH
105.46	0.318	428.02	0.068	0.007	LOW
90.34	0.286	292.9	0.08	0.015	LOW
91.63	0.321	380.1	0.084	0.015	LOW
